rpa;regiao;bairro;local;qtdzonas;endereco;latitude;longitude
1;CENTRO;Recife Antigo;Avenida Alfredo Lisboa;1;Avenida Alfredo Lisboa  em frente a Justiça Militar;-8064406;-34872095
1;CENTRO;Recife Antigo;Avenida Marquês de Olinda;1;Avenida Marquês de Olinda;-8063311;-34871705
1;CENTRO;Recife Antigo;Rua do Bom Jesus;1;Rua do Bom Jesus  em frente ao N. 171;-806211;-3487141
1;CENTRO;Recife Antigo;Avenida Rio Branco;4;Avenida Rio Branco;-8062683;-34873032
1;CENTRO;Recife Antigo;Praça do Arsenal;1;Praça do Arsenal da Marinha  s/n – Bairro do Recife ;-8061057;-34871294
1;CENTRO;Recife Antigo;Pça Marco Zero (Freq. 5Ghz, devido à interferência no local);2;Avenida Alfredo Lisboa;-8063304;-34871003
1;CENTRO;Recife Antigo;Rua Madre de Deus;1;Rua Madre de Deus  em frente a rua da Moeda;-806474;-3487348
1;CENTRO;Recife Antigo;Rua da Guia;1;Rua da Guia ;-8061337;-34871626
1;CENTRO;Recife Antigo;Rua da Moeda;1;Rua da Moeda em frente ao N. 170;-8064716;-34873403
1;CENTRO;Recife Antigo;Rua Mariz e Barros;1;Próximo à esquina da Rua da moeda;-8064472;-34872085
1;CENTRO;Recife Antigo;Forte do Brum;1;Praça da Comunidade Luso Brasileira  Bairro do Recife ;-8052906;-34870875
1;CENTRO;Boa Vista;Mercado da Boa Vista;3;Rua da Santa Cruz  144 - Boa Vista;-8063280;-34888409
1;CENTRO;Boa Vista;Policlínica Gouveia de Barros;1;Largo da Santa Cruz  140 - Boa Vista;-8062069;-34888101
1;CENTRO;Coelhos;Praça Reginaldo Rossi;1;Largo dos Coelhos 29 - Coelhos;-80685353;-34889801
1;CENTRO;Santo Amaro;Parque 13 de Maio;4;Santo Amaro  só 1 funciona  problema nos rádios de enlace;-8056035;-34881836
1;CENTRO;Santo Amaro;Policlínica Professor Waldemar de Oliveira;1;Rua do Pombal  115;-8051961;-34884920
1;CENTRO;Santo Amaro;Rua da Aurora;1;Rua da Aurora  em frente a Globo;-8054775;-34876833
1;CENTRO;Santo Antônio;Casa da Cultura;3;Rua do Cais da Detenção  S/N - Santo Antônio;-8066003;-34883227
1;CENTRO;Santo Antônio;Em frente ao Correio;1;Av. Guararapes  poste nº B018617 - Santo Antônio;-8062677;-34880220
